requestor,action_name,action,action_match,task_id,trial
assistant,get_user_details,get_user_details(user_id=raj_sanchez_7340),True,1,0
assistant,get_reservation_details,get_reservation_details(reservation_id=Q69X3R),True,1,0
assistant,get_reservation_details,get_reservation_details(reservation_id=JMO1MG),True,3,0
assistant,get_user_details,get_user_details(user_id=anya_garcia_5901),True,3,0
assistant,get_user_details,get_user_details(user_id=mei_brown_7075),True,5,0
assistant,get_user_details,get_user_details(user_id=noah_muller_9847),True,2,0
assistant,get_reservation_details,get_reservation_details(reservation_id=SDZQKO),True,2,0
assistant,get_reservation_details,get_reservation_details(reservation_id=4OG6T3),True,2,0
assistant,send_certificate,"send_certificate(user_id=noah_muller_9847, amount=50)",True,2,0
assistant,get_user_details,get_user_details(user_id=sophia_silva_7557),True,4,0
assistant,get_reservation_details,get_reservation_details(reservation_id=NM1VX1),True,4,0
assistant,get_reservation_details,get_reservation_details(reservation_id=KC18K6),True,4,0
assistant,get_reservation_details,get_reservation_details(reservation_id=S61CZX),True,4,0
assistant,get_reservation_details,get_reservation_details(reservation_id=H8Q05L),True,4,0
assistant,get_reservation_details,get_reservation_details(reservation_id=WUNA5K),True,4,0
assistant,get_reservation_details,get_reservation_details(reservation_id=PEP4E0),True,6,0
assistant,get_user_details,get_user_details(user_id=sophia_silva_7557),True,8,0
assistant,get_reservation_details,get_reservation_details(reservation_id=WUNA5K),True,8,0
assistant,search_direct_flight,"search_direct_flight(origin=ORD, destination=PHL, date=2024-05-26)",True,8,0
assistant,book_reservation,"book_reservation(user_id=sophia_silva_7557, origin=ORD, destination=PHL, flight_type=one_way, cabin=economy, flights=[{'flight_number': 'HAT271', 'date': '2024-05-26'}], passengers=[{'first_name': 'Sophia', 'last_name': 'Silva', 'dob': '1957-10-05'}, {'first_name': 'Kevin', 'last_name': 'Smith', 'dob': '2001-04-12'}], payment_methods=[{'payment_id': 'certificate_8045380', 'amount': 348}], total_baggages=0, nonfree_baggages=0, insurance=no)",True,8,0
assistant,get_reservation_details,get_reservation_details(reservation_id=XEHM4B),True,7,0
assistant,get_reservation_details,get_reservation_details(reservation_id=59XX6W),True,7,0
assistant,update_reservation_flights,"update_reservation_flights(reservation_id=XEHM4B, cabin=economy, flights=[{'flight_number': 'HAT005', 'date': '2024-05-20'}, {'flight_number': 'HAT178', 'date': '2024-05-30'}], payment_id=credit_card_2408938)",False,7,0
assistant,cancel_reservation,cancel_reservation(reservation_id=XEHM4B),False,7,0
assistant,cancel_reservation,cancel_reservation(reservation_id=59XX6W),True,7,0
assistant,cancel_reservation,cancel_reservation(reservation_id=NQNU5R),True,9,0
assistant,search_direct_flight,"search_direct_flight(origin=JFK, destination=MCO, date=2024-05-22)",True,9,0
assistant,update_reservation_flights,"update_reservation_flights(reservation_id=GV1N64, cabin=basic_economy, flights=[{'flight_number': 'HAT003', 'date': '2024-05-19'}, {'flight_number': 'HAT290', 'date': '2024-05-20'}], payment_id=gift_card_1642017)",True,11,0
assistant,transfer_to_human_agents,transfer_to_human_agents(summary=User wants to change my upcoming one stop flight from ATL to LAX within reservation XEWRD9 to a nonstop flight from ATL to LAS (Las Vegas). Origin and destination of a reservation cannot be modified.),False,13,0
assistant,get_reservation_details,get_reservation_details(reservation_id=YAX4DR),True,12,0
assistant,search_direct_flight,"search_direct_flight(origin=BOS, destination=MCO, date=2024-05-18)",False,12,0
assistant,search_direct_flight,"search_direct_flight(origin=MCO, destination=MSP, date=2024-05-19)",False,12,0
assistant,calculate,calculate(expression=2 * ((350 - 122) + (499 - 127))),False,12,0
assistant,update_reservation_baggages,"update_reservation_baggages(reservation_id=YAX4DR, total_baggages=2, nonfree_baggages=0, payment_id=credit_card_4938634)",True,12,0
assistant,update_reservation_flights,"update_reservation_flights(reservation_id=M05KNL, cabin=economy, flights=[{'flight_number': 'HAT110', 'date': '2024-05-24'}, {'flight_number': 'HAT172', 'date': '2024-05-24'}], payment_id=gift_card_8887175)",True,15,0
assistant,update_reservation_flights,"update_reservation_flights(reservation_id=M05KNL, cabin=economy, flights=[{'flight_number': 'HAT110', 'date': '2024-05-24'}, {'flight_number': 'HAT172', 'date': '2024-05-24'}], payment_id=gift_card_8887175)",True,16,0
assistant,cancel_reservation,cancel_reservation(reservation_id=K1NW8N),True,14,0
