success,communication,environment,database,num_correct_write_action,num_write_action,task_id,trial
True,True,,True,0,0,0,0
True,True,,True,0,0,1,0
True,True,,True,0,0,3,0
True,True,,True,0,0,5,0
True,True,,True,1,1,2,0
True,True,,True,0,0,4,0
True,True,,True,0,0,6,0
True,True,,True,1,1,8,0
False,True,,False,1,3,7,0
True,True,,True,1,1,9,0
True,True,,True,1,1,11,0
True,True,,True,0,0,13,0
True,True,,True,1,1,12,0
True,True,,True,1,1,15,0
True,True,,True,0,0,10,0
True,True,,True,1,1,16,0
False,False,,False,1,2,14,0
False,True,,False,1,3,17,0
True,True,,True,1,1,19,0
False,True,,False,3,5,18,0
False,True,,False,0,1,20,0
False,True,,False,0,2,21,0
True,True,,True,3,3,22,0
False,True,,False,1,4,23,0
False,True,,False,0,1,24,0
False,True,,False,0,1,25,0
True,True,,True,0,0,26,0
True,True,,True,0,0,28,0
True,True,,True,1,1,27,0
False,True,,False,0,2,29,0
True,True,,True,0,0,31,0
True,True,,True,1,1,30,0
False,True,,False,0,2,32,0
False,True,,False,0,2,33,0
False,True,,False,0,1,35,0
True,True,,True,0,0,34,0
True,True,,True,0,0,36,0
False,True,,False,0,1,38,0
True,True,,True,2,2,37,0
True,True,,True,1,1,40,0
False,True,,False,0,0,41,0
False,True,,False,2,3,39,0
True,True,,True,2,2,42,0
False,True,,False,0,4,44,0
True,True,,True,0,0,43,0
True,True,,True,0,0,45,0
True,True,,True,0,0,46,0
True,True,,True,0,0,47,0
True,True,,True,0,0,48,0
True,True,,True,0,0,49,0
True,True,,True,0,0,0,1
False,True,,False,0,0,1,1
True,True,,True,0,0,3,1
False,True,,False,0,1,2,1
True,True,,True,0,0,4,1
True,True,,True,0,0,5,1
True,True,,True,0,0,6,1
False,True,,False,1,3,7,1
True,True,,True,1,1,8,1
False,True,,False,1,1,9,1
True,True,,True,1,1,11,1
True,True,,True,0,0,10,1
True,True,,True,0,0,13,1
False,True,,False,1,1,12,1
False,False,,False,1,2,14,1
False,True,,False,0,1,16,1
True,True,,True,1,1,15,1
False,True,,False,2,3,17,1
True,True,,True,1,1,19,1
True,True,,True,5,5,18,1
False,True,,False,0,1,20,1
True,True,,True,2,2,21,1
True,True,,True,3,3,22,1
False,True,,False,1,4,23,1
False,True,,False,0,1,25,1
True,True,,True,1,1,24,1
True,True,,True,0,0,26,1
False,True,,False,0,1,27,1
True,True,,True,0,0,28,1
False,True,,False,0,1,30,1
True,True,,True,0,0,31,1
False,True,,False,0,2,32,1
False,True,,False,1,2,29,1
False,True,,False,1,2,33,1
True,True,,True,0,0,36,1
True,True,,True,0,0,34,1
False,True,,False,0,1,35,1
True,True,,True,2,2,37,1
False,True,,False,0,1,38,1
False,True,,False,0,1,40,1
False,True,,False,3,3,39,1
True,True,,True,0,0,41,1
True,True,,True,2,2,42,1
True,True,,True,0,0,43,1
False,True,,False,0,4,44,1
True,True,,True,0,0,45,1
True,True,,True,0,0,46,1
True,True,,True,0,0,47,1
True,True,,True,0,0,48,1
True,True,,True,0,0,49,1
True,True,,True,0,0,0,2
False,True,,False,0,0,1,2
True,True,,True,0,0,3,2
True,True,,True,1,1,2,2
True,True,,True,0,0,4,2
True,True,,True,0,0,6,2
True,True,,True,0,0,5,2
False,True,,False,0,3,7,2
False,True,,False,0,1,8,2
True,True,,True,1,1,9,2
True,True,,True,1,1,11,2
False,True,,False,0,1,12,2
True,True,,True,0,0,13,2
True,True,,True,0,0,10,2
False,True,,False,0,1,16,2
False,True,,False,0,1,15,2
False,False,,False,1,2,14,2
False,True,,False,1,3,17,2
False,True,,False,0,1,19,2
False,True,,False,0,5,18,2
False,True,,False,0,1,20,2
True,True,,True,2,2,21,2
True,True,,True,3,3,22,2
False,False,,False,1,4,23,2
True,True,,True,1,1,25,2
True,True,,True,1,1,24,2
True,True,,True,0,0,26,2
False,True,,False,0,1,27,2
True,True,,True,0,0,28,2
False,True,,False,0,2,29,2
True,True,,True,1,1,30,2
True,True,,True,0,0,31,2
False,True,,False,0,2,32,2
False,True,,False,0,2,33,2
True,True,,True,0,0,36,2
True,True,,True,0,0,34,2
False,True,,False,0,1,35,2
True,True,,True,2,2,37,2
False,True,,False,0,1,38,2
False,True,,False,0,1,40,2
False,True,,False,0,3,39,2
True,True,,True,0,0,41,2
True,True,,True,0,0,43,2
False,True,,False,0,2,42,2
False,True,,False,0,4,44,2
True,True,,True,0,0,45,2
True,True,,True,0,0,46,2
True,True,,True,0,0,47,2
True,True,,True,0,0,48,2
True,True,,True,0,0,49,2
True,True,,True,0,0,0,3
True,True,,True,0,0,1,3
False,True,,False,0,1,2,3
True,True,,True,0,0,3,3
True,True,,True,0,0,4,3
True,True,,True,0,0,5,3
True,True,,True,0,0,6,3
False,False,,False,0,3,7,3
False,True,,False,0,1,8,3
True,True,,True,1,1,9,3
True,True,,True,1,1,11,3
True,True,,True,0,0,10,3
False,True,,False,0,1,12,3
True,True,,True,0,0,13,3
False,False,,False,1,2,14,3
False,True,,False,0,1,15,3
False,True,,False,0,1,16,3
False,True,,False,2,3,17,3
False,True,,False,0,1,19,3
True,True,,True,5,5,18,3
False,True,,False,0,1,20,3
False,True,,False,0,2,21,3
True,True,,True,3,3,22,3
False,True,,False,0,1,24,3
False,True,,False,0,1,25,3
True,True,,True,0,0,26,3
False,True,,False,0,1,27,3
True,True,,True,0,0,28,3
False,True,,False,0,2,29,3
True,True,,True,0,0,31,3
True,True,,True,1,1,30,3
False,True,,False,0,2,32,3
False,True,,False,1,2,33,3
True,True,,True,0,0,34,3
False,,,0,0,0,23,3
True,True,,True,0,0,36,3
False,True,,False,0,1,35,3
False,True,,False,2,2,37,3
True,True,,True,1,1,38,3
False,True,,False,0,1,40,3
False,True,,False,2,3,39,3
True,True,,True,0,0,41,3
False,True,,False,0,2,42,3
True,True,,True,0,0,43,3
False,True,,False,0,4,44,3
True,True,,True,0,0,45,3
True,True,,True,0,0,46,3
False,True,,False,0,0,47,3
True,True,,True,0,0,48,3
True,True,,True,0,0,49,3
